order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
5be47775fbd521b6104cf7ed466afafb,301b8488e73b154141c3a0c5737262bf,delivered,2018-05-26 16:35:00,2018/5/26 16:58,2018/5/28 15:04,2018/5/29 11:18,2018/6/20 0:00
e5b203174e16a24326eca2118bf82a94,d9ecff4f4363cdedd69de972b3f926ef,delivered,2018-05-26 08:26:00,2018/5/26 8:35,2018/5/28 15:12,2018/6/4 10:18,2018/6/26 0:00
f712d6b3989692ceb30fb3cefe2a3593,beecde6eb4cee2e570e0896ac6c8c611,delivered,2018-05-26 21:25:00,2018/5/26 21:50,2018/5/28 14:09,2018/6/4 17:44,2018/7/3 0:00
a2bc7c1f8a1af365261e4f280bff4f6d,f5733fab64544ce8617bf770ac5d8543,delivered,2018-05-26 23:17:00,2018/5/27 23:15,2018/5/28 14:58,2018/6/1 16:22,2018/6/20 0:00
b4c5ff803ab75f16ce38e62e25cab043,f1a658516724893151252a16cc7d5cc7,delivered,2018-05-26 10:35:00,2018/5/29 3:55,2018/6/5 13:32,2018/6/14 23:42,2018/7/11 0:00
53edac1a124286956f5a77aa6db858ac,ed3269b8bcca63b337b3625b4d8970b3,delivered,2018-05-26 16:17:00,2018/5/27 16:15,2018/6/4 12:19,2018/6/14 22:03,2018/7/11 0:00
9a0b2a68507680a6e151319e4b6e68f7,4c2c2a4401219b69cecc92106c149bd4,delivered,2018-05-26 16:05:00,2018/5/26 16:30,2018/5/28 15:36,2018/6/14 11:46,2018/7/13 0:00
e73b248d4f6ecbef4a90906e0ec56290,f7c622a13c738dab416b48fd4d67d8ec,delivered,2018-05-26 16:33:00,2018/5/26 16:58,2018/5/28 14:08,2018/6/7 0:28,2018/6/28 0:00
477612d1e676932652d32281d67da87f,48cd4091de29a9ccd38f28271ee8431c,delivered,2018-05-26 22:18:00,2018/5/26 22:30,2018/5/28 14:49,2018/5/29 20:05,2018/6/20 0:00
17999150a37e709ef58ae49a064400fa,ed9264b6228fa70e32fd889810682e2f,delivered,2018-05-26 11:57:00,2018/5/26 12:18,2018/5/29 13:58,2018/6/4 20:52,2018/6/29 0:00
93d94474ff31149c751c5123897916d7,0a59f8ef2c08c550b607e7a5b71c754e,delivered,2018-05-26 13:42:00,2018/5/26 13:51,2018/5/29 14:22,2018/6/15 12:06,2018/7/13 0:00
feea4e6dd813103d3a1e4a39a341d66e,df7429c93b45154990b9a0d40ada45cb,delivered,2018-05-26 20:54:00,2018/5/26 21:09,2018/5/28 15:40,2018/6/8 17:41,2018/7/18 0:00
9c8a5a65a01f4a42ddd7fe53ee525568,f6776493ae32276dfb0c49984b8cba5b,delivered,2018-05-26 23:30:00,2018/5/26 23:49,2018/5/29 13:14,2018/6/1 14:05,2018/7/18 0:00
4007c8123697940f0574798a18c6ad29,aafe511008ceeac11be1fdab57f9bd8e,delivered,2018-05-26 18:50:00,2018/5/26 19:10,2018/5/29 12:47,2018/6/5 20:33,2018/7/4 0:00
a73d909b08c8058d8c1f42cdb2ada6ae,f6cedb4b0b06be93d4ab83c19536bcc9,delivered,2018-05-26 12:12:00,2018/5/26 12:30,2018/5/28 15:00,2018/6/1 15:42,2018/6/20 0:00
3e525509a51c670ba1386ba88ac9ab6a,04c7bc4cc351fcdcf95e0beea777088f,delivered,2018-05-26 14:19:00,2018/5/26 14:31,2018/5/29 13:25,2018/6/8 20:37,2018/6/28 0:00
e4ce7e9f0b81f2de2415e30494021d2c,5ab3c37d3cf12220b77de5f0d6ea1a66,delivered,2018-05-26 00:34:00,2018/5/27 0:30,2018/5/29 13:41,2018/6/4 19:51,2018/6/20 0:00
9392c5e72885ad5aba87e6223ca9838d,d95f60d70d9ea9a7fe37c53c931940bb,delivered,2018-05-26 19:42:00,2018/5/29 3:31,2018/6/4 11:02,2018/6/19 17:05,2018/7/11 0:00
